日付,実効再生産数
2020/3/1,1.31
2020/3/2,1.18
2020/3/3,1.29
2020/3/4,1.25
2020/3/5,1.17
2020/3/6,1.32
2020/3/7,1.64
2020/3/8,1.7
2020/3/9,1.79
2020/3/10,1.82
2020/3/11,1.78
2020/3/12,1.79
2020/3/13,1.46
2020/3/14,1.34
2020/3/15,1.24
2020/3/16,1.16
2020/3/17,1.01
2020/3/18,0.94
2020/3/19,0.86
2020/3/20,0.94
2020/3/21,0.84
2020/3/22,0.89
2020/3/23,0.97
2020/3/24,1.11
2020/3/25,1.27
2020/3/26,1.45
2020/3/27,1.48
2020/3/28,2.01
2020/3/29,2.13
2020/3/30,2.09
2020/3/31,2.11
2020/4/1,2.12
2020/4/2,2.16
2020/4/3,2.3
2020/4/4,1.94
2020/4/5,1.89
2020/4/6,1.94
2020/4/7,1.81
2020/4/8,1.76
2020/4/9,1.7
2020/4/10,1.61
2020/4/11,1.61
2020/4/12,1.54
2020/4/13,1.49
2020/4/14,1.44
2020/4/15,1.34
2020/4/16,1.23
2020/4/17,1.13
2020/4/18,1.05
2020/4/19,1.0
2020/4/20,0.96
2020/4/21,0.94
2020/4/22,0.91
2020/4/23,0.89
2020/4/24,0.87
2020/4/25,0.84
2020/4/26,0.83
2020/4/27,0.8
2020/4/28,0.78
2020/4/29,0.74
2020/4/30,0.7
2020/5/1,0.68
2020/5/2,0.69
2020/5/3,0.71
2020/5/4,0.74
2020/5/5,0.71
2020/5/6,0.72
2020/5/7,0.75
2020/5/8,0.71
2020/5/9,0.64
2020/5/10,0.58
2020/5/11,0.52
2020/5/12,0.53
2020/5/13,0.53
2020/5/14,0.56
2020/5/15,0.6
2020/5/16,0.63
2020/5/17,0.67
2020/5/18,0.72
2020/5/19,0.67
2020/5/20,0.69
2020/5/21,0.61
2020/5/22,0.6
2020/5/23,0.6
2020/5/24,0.66
2020/5/25,0.67
2020/5/26,0.73
2020/5/27,0.76
2020/5/28,0.91
2020/5/29,1.06
2020/5/30,1.19
2020/5/31,1.13
2020/6/1,1.2
2020/6/2,1.28
2020/6/3,1.25
2020/6/4,1.15
2020/6/5,0.99
2020/6/6,0.95
2020/6/7,0.97
2020/6/8,0.9
2020/6/9,0.8
2020/6/10,0.85
2020/6/11,0.87
2020/6/12,0.96
2020/6/13,0.96
2020/6/14,1.04
2020/6/15,1.17
2020/6/16,1.28
2020/6/17,1.26
2020/6/18,1.35
2020/6/19,1.28
2020/6/20,1.35
2020/6/21,1.21
2020/6/22,1.07
2020/6/23,1.06
2020/6/24,1.14
2020/6/25,1.1
2020/6/26,1.19
2020/6/27,1.18
2020/6/28,1.32
2020/6/29,1.49
2020/6/30,1.59
2020/7/1,1.51
2020/7/2,1.64
2020/7/3,1.72
2020/7/4,1.87
2020/7/5,1.8
2020/7/6,1.71
2020/7/7,1.63
2020/7/8,1.64
2020/7/9,1.59
2020/7/10,1.52
2020/7/11,1.41
2020/7/12,1.44
2020/7/13,1.42
2020/7/14,1.42
2020/7/15,1.47
2020/7/16,1.47
2020/7/17,1.43
2020/7/18,1.46
2020/7/19,1.4
2020/7/20,1.41
2020/7/21,1.43
2020/7/22,1.43
2020/7/23,1.4
2020/7/24,1.38
2020/7/25,1.33
2020/7/26,1.36
2020/7/27,1.35
2020/7/28,1.33
2020/7/29,1.32
2020/7/30,1.3
2020/7/31,1.37
2020/8/1,1.44
2020/8/2,1.43
2020/8/3,1.44
2020/8/4,1.4
2020/8/5,1.34
2020/8/6,1.31
2020/8/7,1.2
2020/8/8,1.12
2020/8/9,1.09
2020/8/10,1.05
2020/8/11,0.98
2020/8/12,0.95
2020/8/13,0.91
2020/8/14,0.89
2020/8/15,0.87
2020/8/16,0.82
2020/8/17,0.81
2020/8/18,0.86
2020/8/19,0.9
2020/8/20,0.92
2020/8/21,0.91
2020/8/22,0.91
2020/8/23,0.93
2020/8/24,0.93
2020/8/25,0.89
2020/8/26,0.86
2020/8/27,0.83
2020/8/28,0.84
2020/8/29,0.85
2020/8/30,0.86
