1.255,1.152,1.048,0.945,0.841,0.738,0.634,0.531,0.427,0.325,0.241,0.156,0.082,0.016,-0.026,-0.048,-0.06,-0.055,-0.047,-0.033,-0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.897,1.794,1.69,1.587,1.483,1.38,1.276,1.173,1.069,0.965,0.855,0.747,0.639,0.532,0.43,0.335,0.249,0.175,0.111,0.063,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.934,0.831,0.727,0.624,0.52,0.417,0.313,0.21,0.106,0.005,-0.066,-0.139,-0.196,-0.243,-0.254,-0.239,-0.214,-0.169,-0.126,-0.081,-0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.218,2.115,2.011,1.908,1.804,1.701,1.597,1.494,1.39,1.285,1.162,1.043,0.917,0.791,0.658,0.526,0.404,0.29,0.19,0.112,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.576,1.473,1.369,1.266,1.162,1.059,0.955,0.852,0.748,0.645,0.548,0.452,0.36,0.274,0.202,0.144,0.095,0.06,0.032,0.015,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.345,1.332,1.318,1.304,1.29,1.277,1.263,1.249,1.236,1.222,1.208,1.195,1.181,1.167,1.153,1.14,1.126,1.112,1.099,1.085,1.071,1.058,1.044,1.03,1.017,1.003,0.989,0.975,0.962,0.948,0.934,0.921,0.907,0.893,0.88,0.866,0.852,0.838,0.825,0.811,0.797,0.784,0.77,0.756,0.743,0.729,0.715,0.701,0.688,0.674,0.66,0.647,0.633,0.619,0.606,0.592,0.578,0.565,0.551,0.537,0.523,0.51,0.496,0.482,0.469
1.987,1.974,1.96,1.946,1.932,1.919,1.905,1.891,1.878,1.864,1.85,1.837,1.823,1.809,1.796,1.782,1.768,1.754,1.741,1.727,1.713,1.7,1.686,1.672,1.659,1.645,1.631,1.617,1.604,1.59,1.576,1.563,1.549,1.535,1.522,1.508,1.494,1.48,1.467,1.453,1.439,1.426,1.412,1.398,1.385,1.371,1.357,1.344,1.33,1.316,1.302,1.289,1.275,1.261,1.248,1.234,1.22,1.207,1.193,1.179,1.165,1.152,1.138,1.124,1.111
1.024,1.011,0.997,0.983,0.969,0.956,0.942,0.928,0.915,0.901,0.887,0.874,0.86,0.846,0.832,0.819,0.805,0.791,0.778,0.764,0.75,0.737,0.723,0.709,0.696,0.682,0.668,0.654,0.641,0.627,0.613,0.6,0.586,0.572,0.559,0.545,0.531,0.517,0.504,0.49,0.476,0.463,0.449,0.435,0.422,0.408,0.394,0.38,0.367,0.353,0.339,0.326,0.312,0.298,0.285,0.271,0.257,0.244,0.23,0.216,0.202,0.189,0.175,0.161,0.148
2.308,2.295,2.281,2.267,2.253,2.24,2.226,2.212,2.199,2.185,2.171,2.158,2.144,2.13,2.117,2.103,2.089,2.075,2.062,2.048,2.034,2.021,2.007,1.993,1.98,1.966,1.952,1.938,1.925,1.911,1.897,1.884,1.87,1.856,1.843,1.829,1.815,1.801,1.788,1.774,1.76,1.747,1.733,1.719,1.706,1.692,1.678,1.665,1.651,1.637,1.623,1.61,1.596,1.582,1.569,1.555,1.541,1.528,1.514,1.5,1.486,1.473,1.459,1.445,1.432
1.666,1.653,1.639,1.625,1.611,1.598,1.584,1.57,1.557,1.543,1.529,1.516,1.502,1.488,1.474,1.461,1.447,1.433,1.42,1.406,1.392,1.379,1.365,1.351,1.338,1.324,1.31,1.296,1.283,1.269,1.255,1.242,1.228,1.214,1.201,1.187,1.173,1.159,1.146,1.132,1.118,1.105,1.091,1.077,1.064,1.05,1.036,1.023,1.009,0.995,0.981,0.968,0.954,0.94,0.927,0.913,0.899,0.886,0.872,0.858,0.844,0.831,0.817,0.803,0.79
